model,n_orders,n_flagged,pct_orders_flagged,base_positive_rate,true_positives,false_positives,false_negatives,precision,recall,f1,lift_over_random,selection_strategy,top_frac,probability_threshold,min_selected_probability
Logistic Regression,19167,192,0.010017217091876663,0.09678092554912089,85,107,1770,0.4427083333333333,0.04582210242587601,0.08304836345872008,4.574334568733153,top_fraction,0.01,,0.8819166569623725
Logistic Regression,19167,959,0.050033912453696455,0.09678092554912089,267,692,1588,0.278415015641293,0.14393530997304582,0.18976545842217482,2.8767550430170687,top_fraction,0.05,,0.7494192253109424
Logistic Regression,19167,1917,0.10001565190170605,0.09678092554912089,399,1518,1456,0.2081377151799687,0.21509433962264152,0.211558854718982,2.1506067853662856,top_fraction,0.1,,0.6902918652436438
Logistic Regression,19167,2876,0.1500495643554025,0.09678092554912089,506,2370,1349,0.17593880389429764,0.27277628032345014,0.2139082646374974,1.8179078459525622,top_fraction,0.15,,0.652025235071473
Logistic Regression,19167,3834,0.2000313038034121,0.09678092554912089,616,3218,1239,0.16066770996348462,0.3320754716981132,0.2165582703462823,1.660117518528361,top_fraction,0.2,,0.6201545359585503
Logistic Regression,19167,4792,0.2500130432514217,0.09678092554912089,719,4073,1136,0.15004173622704509,0.3876010781671159,0.21633819768316537,1.5503234276354572,top_fraction,0.25,,0.5904133243664634
Random Forest,19167,192,0.010017217091876663,0.09678092554912089,84,108,1771,0.4375,0.045283018867924525,0.08207132388861749,4.520518867924528,top_fraction,0.01,,0.764124353150085
Random Forest,19167,959,0.050033912453696455,0.09678092554912089,287,672,1568,0.29927007299270075,0.15471698113207547,0.20398009950248755,3.0922423121569245,top_fraction,0.05,,0.5902707802993366
Random Forest,19167,1917,0.10001565190170605,0.09678092554912089,429,1488,1426,0.2237871674491393,0.231266846361186,0.22746553552492046,2.3123065436645027,top_fraction,0.1,,0.5214628952892851
Random Forest,19167,2876,0.1500495643554025,0.09678092554912089,531,2345,1324,0.18463143254520167,0.2862533692722372,0.22447685478757137,1.907725427274329,top_fraction,0.15,,0.4938378776407405
Random Forest,19167,3834,0.2000313038034121,0.09678092554912089,647,3187,1208,0.16875326030255608,0.3487870619946092,0.22745649499033221,1.7436623936491062,top_fraction,0.2,,0.4743342807142375
Random Forest,19167,4792,0.2500130432514217,0.09678092554912089,747,4045,1108,0.15588480801335558,0.4026954177897574,0.22476305100045135,1.610697636222095,top_fraction,0.25,,0.45763607371878023
HistGradientBoostingClassifier,19167,192,0.010017217091876663,0.09678092554912089,87,105,1768,0.453125,0.04690026954177898,0.08500244259892527,4.681965970350404,top_fraction,0.01,,0.789453863235048
HistGradientBoostingClassifier,19167,959,0.050033912453696455,0.09678092554912089,290,669,1565,0.3023983315954119,0.15633423180592992,0.20611229566453448,3.1245654025279026,top_fraction,0.05,,0.6458080954756598
HistGradientBoostingClassifier,19167,1917,0.10001565190170605,0.09678092554912089,451,1466,1404,0.23526343244653103,0.2431266846361186,0.23913043478260868,2.4308863664165283,top_fraction,0.1,,0.5675343202610338
HistGradientBoostingClassifier,19167,2876,0.1500495643554025,0.09678092554912089,553,2323,1302,0.19228094575799723,0.2981132075471698,0.23377721411963645,1.986764898837484,top_fraction,0.15,,0.5262018917698742
HistGradientBoostingClassifier,19167,3834,0.2000313038034121,0.09678092554912089,640,3194,1215,0.16692749087115286,0.3450134770889488,0.22499560555457904,1.7247974218476478,top_fraction,0.2,,0.49796157474226765
HistGradientBoostingClassifier,19167,4792,0.2500130432514217,0.09678092554912089,729,4063,1126,0.15212854757929883,0.3929919137466307,0.21934707386791036,1.5718856449878278,top_fraction,0.25,,0.4743757100750082
