model,n_orders,n_flagged,pct_orders_flagged,base_positive_rate,true_positives,false_positives,false_negatives,precision,recall,f1,lift_over_random,selection_strategy,top_frac,probability_threshold,min_selected_probability
Logistic Regression,19167,19167,1.0,0.09678092554912089,1855,17312,0,0.09678092554912089,1.0,0.1764817809913424,1.0,probability_threshold,,0.05,0.09172058819112365
Logistic Regression,19167,19163,0.9997913079772526,0.09678092554912089,1855,17308,0,0.09680112717215467,1.0,0.17651536777999807,1.0002087355841986,probability_threshold,,0.1,0.10036796646099772
Logistic Regression,19167,19150,0.9991130589033235,0.09678092554912089,1855,17295,0,0.09686684073107049,1.0,0.17662461318733635,1.00088772845953,probability_threshold,,0.15,0.15468286112800372
Logistic Regression,19167,19126,0.9978609067668388,0.09678092554912089,1853,17273,2,0.09688382306807487,0.9989218328840971,0.1766360040036223,1.0010632004020437,probability_threshold,,0.2,0.20068712310696993
Logistic Regression,19167,18963,0.9893567068398811,0.09678092554912089,1844,17119,11,0.09724199757422348,0.9940700808625337,0.17715438562782207,1.0047640795175965,probability_threshold,,0.25,0.25023363925340525
Logistic Regression,19167,18080,0.9432879428183858,0.09678092554912089,1788,16292,67,0.09889380530973452,0.9638814016172507,0.17938299473288186,1.0218315721680222,probability_threshold,,0.3,0.30000202854949337
Logistic Regression,19167,12878,0.6718839672353524,0.09678092554912089,1427,11451,428,0.11080913185277216,0.7692722371967655,0.19371478992737393,1.144948048637242,probability_threshold,,0.4,0.4000181599024317
Logistic Regression,19167,8435,0.440079302968644,0.09678092554912089,1063,7372,792,0.12602252519264967,0.5730458221024258,0.20660835762876575,1.302142178095696,probability_threshold,,0.5,0.5000008364178973
Random Forest,19167,19167,1.0,0.09678092554912089,1855,17312,0,0.09678092554912089,1.0,0.1764817809913424,1.0,probability_threshold,,0.05,0.19813199677211243
Random Forest,19167,19167,1.0,0.09678092554912089,1855,17312,0,0.09678092554912089,1.0,0.1764817809913424,1.0,probability_threshold,,0.1,0.19813199677211243
Random Forest,19167,19167,1.0,0.09678092554912089,1855,17312,0,0.09678092554912089,1.0,0.1764817809913424,1.0,probability_threshold,,0.15,0.19813199677211243
Random Forest,19167,19166,0.9999478269943132,0.09678092554912089,1855,17311,0,0.09678597516435354,1.0,0.17649017649017648,1.0000521757278513,probability_threshold,,0.2,0.20271542214979943
Random Forest,19167,18772,0.9793916627536913,0.09678092554912089,1832,16940,23,0.09759215853398678,0.987601078167116,0.1776312599990304,1.0083821577471292,probability_threshold,,0.25,0.2500008243269651
Random Forest,19167,16140,0.8420723117858819,0.09678092554912089,1668,14472,187,0.1033457249070632,0.8991913746630728,0.18538482911919982,1.0678315413982105,probability_threshold,,0.3,0.30000120339036546
Random Forest,19167,8952,0.4670527469087494,0.09678092554912089,1128,7824,727,0.1260053619302949,0.6080862533692722,0.20875358563893773,1.3019648367212735,probability_threshold,,0.4,0.400025364504082
Random Forest,19167,2643,0.13789325403036468,0.09678092554912089,507,2136,1348,0.19182746878547105,0.2733153638814016,0.2254335260115607,1.9820792960706866,probability_threshold,,0.5,0.500003611040438
HistGradientBoostingClassifier,19167,19167,1.0,0.09678092554912089,1855,17312,0,0.09678092554912089,1.0,0.1764817809913424,1.0,probability_threshold,,0.05,0.0980018337125672
HistGradientBoostingClassifier,19167,19166,0.9999478269943132,0.09678092554912089,1855,17311,0,0.09678597516435354,1.0,0.17649017649017648,1.0000521757278513,probability_threshold,,0.1,0.10133430569002534
HistGradientBoostingClassifier,19167,19118,0.997443522721344,0.09678092554912089,1850,17268,5,0.09676744429333613,0.9973045822102425,0.17641729843131648,0.9998607033802552,probability_threshold,,0.15,0.15133305925641133
HistGradientBoostingClassifier,19167,18819,0.9818437940209735,0.09678092554912089,1830,16989,25,0.09724214889207716,0.9865229110512129,0.17703395569314118,1.0047656430266538,probability_threshold,,0.2,0.2000800956020387
HistGradientBoostingClassifier,19167,17486,0.9122971774403923,0.09678092554912089,1740,15746,115,0.09950817797094819,0.9380053908355795,0.17992864898402358,1.0281796480696301,probability_threshold,,0.25,0.2500524844746282
HistGradientBoostingClassifier,19167,14782,0.7712213700631293,0.09678092554912089,1531,13251,324,0.1035719117846029,0.8253369272237197,0.18404760473643084,1.070168643221285,probability_threshold,,0.3,0.3000023293051258
HistGradientBoostingClassifier,19167,8573,0.4472791777534304,0.09678092554912089,1074,7499,781,0.1252770325440336,0.5789757412398921,0.20598388952819335,1.2944392899037693,probability_threshold,,0.4,0.4000195877092356
HistGradientBoostingClassifier,19167,3751,0.19570094433140292,0.09678092554912089,635,3116,1220,0.16928818981604907,0.3423180592991914,0.22654298965394223,1.74918961412626,probability_threshold,,0.5,0.5000215890042792
